Using cpu device
Wrapping the env in a DummyVecEnv.
---------------------------------
| rollout/           |          |
|    ep_len_mean     | 212      |
|    ep_rew_mean     | -233     |
| time/              |          |
|    fps             | 119      |
|    iterations      | 1        |
|    time_elapsed    | 17       |
|    total_timesteps | 2048     |
---------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 102         |
|    ep_rew_mean          | -117        |
| time/                   |             |
|    fps                  | 122         |
|    iterations           | 2           |
|    time_elapsed         | 33          |
|    total_timesteps      | 4096        |
| train/                  |             |
|    approx_kl            | 0.011974761 |
|    clip_fraction        | 0.121       |
|    clip_range           | 0.2         |
|    entropy_loss         | -11.3       |
|    explained_variance   | 0.00221     |
|    learning_rate        | 0.0003      |
|    loss                 | 60.1        |
|    n_updates            | 10          |
|    policy_gradient_loss | -0.0249     |
|    std                  | 0.991       |
|    value_loss           | 244         |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 88.9        |
|    ep_rew_mean          | -101        |
| time/                   |             |
|    fps                  | 121         |
|    iterations           | 3           |
|    time_elapsed         | 50          |
|    total_timesteps      | 6144        |
| train/                  |             |
|    approx_kl            | 0.013954736 |
|    clip_fraction        | 0.121       |
|    clip_range           | 0.2         |
|    entropy_loss         | -11.2       |
|    explained_variance   | 0.00803     |
|    learning_rate        | 0.0003      |
|    loss                 | 41.2        |
|    n_updates            | 20          |
|    policy_gradient_loss | -0.0284     |
|    std                  | 0.98        |
|    value_loss           | 146         |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 89.7        |
|    ep_rew_mean          | -99.1       |
| time/                   |             |
|    fps                  | 120         |
|    iterations           | 4           |
|    time_elapsed         | 68          |
|    total_timesteps      | 8192        |
| train/                  |             |
|    approx_kl            | 0.011837057 |
|    clip_fraction        | 0.128       |
|    clip_range           | 0.2         |
|    entropy_loss         | -11.2       |
|    explained_variance   | 0.0234      |
|    learning_rate        | 0.0003      |
|    loss                 | 60.9        |
|    n_updates            | 30          |
|    policy_gradient_loss | -0.0325     |
|    std                  | 0.974       |
|    value_loss           | 148         |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 67.1        |
|    ep_rew_mean          | -70.3       |
| time/                   |             |
|    fps                  | 121         |
|    iterations           | 5           |
|    time_elapsed         | 84          |
|    total_timesteps      | 10240       |
| train/                  |             |
