Using cpu device
Wrapping the env in a DummyVecEnv.
---------------------------------
| rollout/           |          |
|    ep_len_mean     | 54.2     |
|    ep_rew_mean     | -58.1    |
| time/              |          |
|    fps             | 1456     |
|    iterations      | 1        |
|    time_elapsed    | 1        |
|    total_timesteps | 2048     |
---------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 104         |
|    ep_rew_mean          | -108        |
| time/                   |             |
|    fps                  | 1128        |
|    iterations           | 2           |
|    time_elapsed         | 3           |
|    total_timesteps      | 4096        |
| train/                  |             |
|    approx_kl            | 0.011759384 |
|    clip_fraction        | 0.125       |
|    clip_range           | 0.2         |
|    entropy_loss         | -11.3       |
|    explained_variance   | -0.014      |
|    learning_rate        | 0.0003      |
|    loss                 | 53.4        |
|    n_updates            | 10          |
|    policy_gradient_loss | -0.0273     |
|    std                  | 0.994       |
|    value_loss           | 201         |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 106         |
|    ep_rew_mean          | -109        |
| time/                   |             |
|    fps                  | 1044        |
|    iterations           | 3           |
|    time_elapsed         | 5           |
|    total_timesteps      | 6144        |
| train/                  |             |
|    approx_kl            | 0.013082769 |
|    clip_fraction        | 0.109       |
|    clip_range           | 0.2         |
|    entropy_loss         | -11.3       |
|    explained_variance   | 0.00271     |
|    learning_rate        | 0.0003      |
|    loss                 | 45.6        |
|    n_updates            | 20          |
|    policy_gradient_loss | -0.0263     |
|    std                  | 0.983       |
|    value_loss           | 129         |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 113         |
|    ep_rew_mean          | -116        |
| time/                   |             |
|    fps                  | 957         |
|    iterations           | 4           |
|    time_elapsed         | 8           |
|    total_timesteps      | 8192        |
| train/                  |             |
|    approx_kl            | 0.013544586 |
|    clip_fraction        | 0.143       |
|    clip_range           | 0.2         |
|    entropy_loss         | -11.2       |
|    explained_variance   | 0.0339      |
|    learning_rate        | 0.0003      |
|    loss                 | 42.5        |
|    n_updates            | 30          |
|    policy_gradient_loss | -0.0309     |
|    std                  | 0.973       |
|    value_loss           | 130         |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 114         |
|    ep_rew_mean          | -120        |
| time/                   |             |
|    fps                  | 932         |
|    iterations           | 5           |
|    time_elapsed         | 10          |
|    total_timesteps      | 10240       |
| train/                  |             |
|    approx_kl            | 0.010411985 |
|    clip_fraction        | 0.0808      |
|    clip_range           | 0.2         |
|    entropy_loss         | -11.1       |
|    explained_variance   | 0.0374      |
|    learning_rate        | 0.0003      |
|    loss                 | 35.1        |
|    n_updates            | 40          |
|    policy_gradient_loss | -0.0233     |
|    std                  | 0.963       |
|    value_loss           | 110         |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 114         |
|    ep_rew_mean          | -120        |
| time/                   |             |
|    fps                  | 909         |
|    iterations           | 6           |
|    time_elapsed         | 13          |
|    total_timesteps      | 12288       |
| train/                  |             |
|    approx_kl            | 0.011445048 |
|    clip_fraction        | 0.148       |
|    clip_range           | 0.2         |
|    entropy_loss         | -11         |
|    explained_variance   | 0.0212      |
|    learning_rate        | 0.0003      |
|    loss                 | 68.6        |
|    n_updates            | 50          |
|    policy_gradient_loss | -0.0377     |
|    std                  | 0.955       |
|    value_loss           | 157         |
-----------------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 113        |
|    ep_rew_mean          | -118       |
| time/                   |            |
|    fps                  | 890        |
|    iterations           | 7          |
|    time_elapsed         | 16         |
|    total_timesteps      | 14336      |
| train/                  |            |
|    approx_kl            | 0.01097006 |
|    clip_fraction        | 0.11       |
|    clip_range           | 0.2        |
|    entropy_loss         | -11        |
|    explained_variance   | 0.137      |
|    learning_rate        | 0.0003     |
|    loss                 | 63.7       |
|    n_updates            | 60         |
|    policy_gradient_loss | -0.0295    |
|    std                  | 0.948      |
|    value_loss           | 170        |
----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 106         |
|    ep_rew_mean          | -109        |
| time/                   |             |
|    fps                  | 886         |
|    iterations           | 8           |
|    time_elapsed         | 18          |
|    total_timesteps      | 16384       |
| train/                  |             |
|    approx_kl            | 0.012320243 |
|    clip_fraction        | 0.131       |
